uuid,source,category,material_or_activity,region,activity_name,unit,value_kgco2e,uncertainty_pct,data_quality_score_1to5,reference_year,methodology,allocation,reference,notes,last_updated,meta
bca9c6f4-dee4-44c6-bf4d-2fe697853bdf,DEFRA,Garment,Jeans,US,Garment - Jeans (US),kgCO2e/item,20.7102,15,3,2024,Hybrid,None,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-27,"{""env"":""pilot"",""license"":""TBD""}"
b88017a8-a7cb-4109-a589-845a74816090,Higg MSI,Garment,Dress,US,Garment - Dress (US),kgCO2e/item,16.1452,20,1,2023,Consequential,Energy Content,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-29,"{""env"":""pilot"",""license"":""TBD""}"
a7c4e276-4a69-4364-a7ac-77ec6c8f4d80,DEFRA,Retail,Returns Processing,TR,Retail - Returns Processing (TR),kgCO2e/kWh,0.5766,30,4,2020,Attributional,Economic,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-12,"{""env"":""pilot"",""license"":""TBD""}"
fbd9efc3-a61a-4b51-af1e-f2032b60e1d1,Higg MSI,Retail,Store Electricity,CN,Retail - Store Electricity (CN),kgCO2e/kWh,0.2547,50,3,2023,Attributional,Energy Content,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-17,"{""env"":""pilot"",""license"":""TBD""}"
24a363c5-7fff-41e8-a457-55a0dee96b10,Climatiq,Office & IT,Laptop Usage,EU,Office & IT - Laptop Usage (EU),kgCO2e/kWh,0.5128,20,4,2023,Hybrid,Economic,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-29,"{""env"":""pilot"",""license"":""TBD""}"
9f54843b-a1a2-4f8b-9a76-76ecb84f4da5,DEFRA,Office & IT,Data Center kWh,EU,Office & IT - Data Center kWh (EU),kgCO2e/kWh,0.5796,5,4,2023,Attributional,Economic,DEFRA 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-12,"{""env"":""pilot"",""license"":""TBD""}"
c0bb3241-4f60-48ad-99d3-aec72cd3d765,DEFRA,Packaging,Polybag,Global,Packaging - Polybag (Global),kgCO2e/item,0.1976,30,4,2019,Attributional,None,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-03,"{""env"":""pilot"",""license"":""TBD""}"
b31311b5-1240-49b4-8362-aadec1bc5c9f,Ecoinvent,Dyeing & Finishing,Reactive Dyeing,EU,Dyeing & Finishing - Reactive Dyeing (EU),kgCO2e/kg,4.6039,40,1,2021,Hybrid,Economic,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-13,"{""env"":""pilot"",""license"":""TBD""}"
9aca3947-2f4e-414c-bfdd-d24b7e4fd9a4,Higg MSI,Distribution,Last-Mile Van,CN,Distribution - Last-Mile Van (CN),kgCO2e/item,0.0479,5,3,2025,Process-based,None,Higg MSI 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-08,"{""env"":""pilot"",""license"":""TBD""}"
c010426a-e28c-46e5-8c6f-5cddf4540da7,Ecoinvent,Distribution,3PL Hub,US,Distribution - 3PL Hub (US),kgCO2e/item,0.1551,20,2,2023,Hybrid,Economic,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-22,"{""env"":""pilot"",""license"":""TBD""}"
c3119e15-141e-4766-95d1-5c8e97007f93,Ecoinvent,Garment,Hoodie,TR,Garment - Hoodie (TR),kgCO2e/item,1.0558,40,5,2019,Hybrid,Energy Content,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-03,"{""env"":""pilot"",""license"":""TBD""}"
8587c704-f23f-4afe-9e7b-28a0474cc010,DEFRA,Transport,Truck Euro6,EU,Transport - Truck Euro6 (EU),kgCO2e/tonne-km,0.1331,40,4,2020,Process-based,None,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-06,"{""env"":""pilot"",""license"":""TBD""}"
81cc86cb-b6bb-465e-9ef4-f575a87969f1,Ecoinvent,Dyeing & Finishing,Digital Printing,EU,Dyeing & Finishing - Digital Printing (EU),kgCO2e/kg,4.9561,30,2,2022,Hybrid,Mass,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-01,"{""env"":""pilot"",""license"":""TBD""}"
6a4d9a4d-9637-4690-bdac-cb92b68a29fd,Ecoinvent,Fabric,Knit,US,Fabric - Knit (US),kgCO2e/kg,4.0851,10,4,2019,Process-based,None,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-25,"{""env"":""pilot"",""license"":""TBD""}"
13e279b0-f1bf-46cc-9063-526a7b73eb20,DEFRA,Garment,Jeans,EU,Garment - Jeans (EU),kgCO2e/item,9.7816,10,3,2019,Hybrid,Energy Content,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-11,"{""env"":""pilot"",""license"":""TBD""}"
d88145ac-f652-4cad-bd22-f472d0b7f6db,Ecoinvent,Office & IT,Laptop Usage,CN,Office & IT - Laptop Usage (CN),kgCO2e/kWh,0.4847,50,4,2020,Process-based,None,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-06,"{""env"":""pilot"",""license"":""TBD""}"
900e767b-6fd0-443b-b68e-26b34268baee,DEFRA,Fibre,Recycled Polyester,TR,Fibre - Recycled Polyester (TR),kgCO2e/kg,3.6798,10,4,2024,Attributional,Economic,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-13,"{""env"":""pilot"",""license"":""TBD""}"
ab8a82ae-bb0c-44d8-ab91-105c1f7f69d2,Climatiq,Transport,Sea Container,CN,Transport - Sea Container (CN),kgCO2e/tonne-km,0.3793,40,4,2025,Attributional,Mass,Climatiq 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-21,"{""env"":""pilot"",""license"":""TBD""}"
5a596f86-d723-4421-b9bb-ac3ac449d6c7,Ecoinvent,Retail,Store Electricity,CN,Retail - Store Electricity (CN),kgCO2e/kWh,0.2336,40,3,2023,Consequential,Mass,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-20,"{""env"":""pilot"",""license"":""TBD""}"
5ea4a66c-5e64-48b6-b2f8-cddd10bbb433,Ecoinvent,Distribution,Last-Mile Van,Global,Distribution - Last-Mile Van (Global),kgCO2e/item,0.1937,5,3,2024,Hybrid,Economic,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-25,"{""env"":""pilot"",""license"":""TBD""}"
8488065d-f7b8-4677-8bc2-c730ca2fca92,DEFRA,Yarn,Open End,Global,Yarn - Open End (Global),kgCO2e/kg,4.9731,10,5,2018,Attributional,Economic,DEFRA 2018 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-25,"{""env"":""pilot"",""license"":""TBD""}"
06dfa2d8-33ce-4096-a76e-6382ba4a2fda,Ecoinvent,Transport,Sea Container,CN,Transport - Sea Container (CN),kgCO2e/tonne-km,0.2918,20,2,2023,Attributional,Energy Content,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-04,"{""env"":""pilot"",""license"":""TBD""}"
9c667a99-6e1f-450c-a84e-0a42ccc172ae,DEFRA,Office & IT,Laptop Usage,US,Office & IT - Laptop Usage (US),kgCO2e/kWh,0.2501,30,3,2022,Consequential,Mass,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-05,"{""env"":""pilot"",""license"":""TBD""}"
e00e1860-9c72-4372-b364-711316af9c22,Ecoinvent,Fabric,Fleece,US,Fabric - Fleece (US),kgCO2e/kg,4.6646,30,5,2021,Attributional,Economic,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-06,"{""env"":""pilot"",""license"":""TBD""}"
0c0825af-d3b5-4b5a-93e1-e0c14ae1c7a4,DEFRA,Yarn,Blended Yarn,Global,Yarn - Blended Yarn (Global),kgCO2e/kg,6.8692,20,3,2024,Hybrid,Energy Content,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-24,"{""env"":""pilot"",""license"":""TBD""}"
72911cb2-d53c-49bc-9502-14c2ee817c7c,Ecoinvent,Garment,Hoodie,US,Garment - Hoodie (US),kgCO2e/item,12.3888,15,4,2024,Consequential,Mass,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-15,"{""env"":""pilot"",""license"":""TBD""}"
a8e203ff-3d5c-43fa-bf89-bb460ab739e5,DEFRA,Fibre,Viscose,US,Fibre - Viscose (US),kgCO2e/kg,7.9302,10,3,2019,Consequential,None,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-22,"{""env"":""pilot"",""license"":""TBD""}"
ad469939-95bf-4d69-915e-c5d640ada76c,Climatiq,Yarn,Filament,Global,Yarn - Filament (Global),kgCO2e/kg,3.1041,10,3,2025,Process-based,None,Climatiq 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-27,"{""env"":""pilot"",""license"":""TBD""}"
e6cf619d-7d1c-4cc4-ae84-d6dce6e1980d,Climatiq,Garment,Hoodie,US,Garment - Hoodie (US),kgCO2e/item,1.2069,15,1,2022,Process-based,Economic,Climatiq 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-11-01,"{""env"":""pilot"",""license"":""TBD""}"
a29eb44b-542c-46d9-8622-0ce9a5c4aeec,Ecoinvent,Transport,Rail,EU,Transport - Rail (EU),kgCO2e/tonne-km,0.5368,10,4,2024,Consequential,None,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-15,"{""env"":""pilot"",""license"":""TBD""}"
c75bb84b-586c-40b9-b4be-6c150dfeef6d,Higg MSI,Garment,Jeans,Global,Garment - Jeans (Global),kgCO2e/item,20.9186,10,3,2024,Attributional,Energy Content,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-03-09,"{""env"":""pilot"",""license"":""TBD""}"
2ed25038-0155-4762-8252-35de32313335,Ecoinvent,Yarn,Open End,TR,Yarn - Open End (TR),kgCO2e/kg,3.3829,15,5,2022,Consequential,Economic,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-28,"{""env"":""pilot"",""license"":""TBD""}"
3174acf8-d3c5-4ee6-843d-2306f6c09987,DEFRA,Yarn,Open End,TR,Yarn - Open End (TR),kgCO2e/kg,5.0209,10,3,2022,Attributional,Economic,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-29,"{""env"":""pilot"",""license"":""TBD""}"
da19b55c-e74f-44ea-bafb-c04b9c2afd92,DEFRA,Packaging,Carton Box,TR,Packaging - Carton Box (TR),kgCO2e/item,0.1379,15,4,2020,Hybrid,None,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-13,"{""env"":""pilot"",""license"":""TBD""}"
851d8912-f130-460d-92c4-6c2e47e6499a,DEFRA,Garment,T-Shirt,Global,Garment - T-Shirt (Global),kgCO2e/item,8.2575,15,2,2024,Consequential,Energy Content,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-20,"{""env"":""pilot"",""license"":""TBD""}"
c53339bd-139f-41db-8f17-553a62cf9465,Climatiq,Fabric,Denim,TR,Fabric - Denim (TR),kgCO2e/kg,17.7532,10,4,2023,Hybrid,Economic,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-02,"{""env"":""pilot"",""license"":""TBD""}"
97f0d912-32cf-4a36-8d39-fd68332be61a,Ecoinvent,Dyeing & Finishing,Digital Printing,US,Dyeing & Finishing - Digital Printing (US),kgCO2e/kg,2.8318,20,4,2023,Hybrid,Mass,Ecoinvent 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-12,"{""env"":""pilot"",""license"":""TBD""}"
9b22f50f-e470-46f4-b5fb-2540cf626a5d,Ecoinvent,Retail,E-commerce Ops,Global,Retail - E-commerce Ops (Global),kgCO2e/kWh,0.4034,15,3,2025,Consequential,Economic,Ecoinvent 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-06,"{""env"":""pilot"",""license"":""TBD""}"
b03abc36-7d9e-44d9-9132-7d28d275f431,Higg MSI,Packaging,Paper Wrap,TR,Packaging - Paper Wrap (TR),kgCO2e/item,0.232,10,3,2024,Hybrid,Economic,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-13,"{""env"":""pilot"",""license"":""TBD""}"
f0bd8c00-e32c-40b9-a7f0-96b2dc693a53,Climatiq,Yarn,Open End,US,Yarn - Open End (US),kgCO2e/kg,3.7372,20,5,2024,Process-based,Mass,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-01,"{""env"":""pilot"",""license"":""TBD""}"
e1ddd221-558b-4974-96d7-70b0300dbde3,DEFRA,Packaging,Carton Box,EU,Packaging - Carton Box (EU),kgCO2e/item,0.1597,10,2,2024,Hybrid,Economic,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-29,"{""env"":""pilot"",""license"":""TBD""}"
3cc2b8d2-541b-4825-a4ec-166bf432c488,Ecoinvent,Dyeing & Finishing,Digital Printing,EU,Dyeing & Finishing - Digital Printing (EU),kgCO2e/kg,9.1237,40,2,2024,Process-based,Economic,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-20,"{""env"":""pilot"",""license"":""TBD""}"
5857d66a-4689-4624-be7a-e1ff9f3b1de6,DEFRA,Packaging,Paper Wrap,Global,Packaging - Paper Wrap (Global),kgCO2e/item,0.0794,5,5,2020,Process-based,Energy Content,DEFRA 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-12-30,"{""env"":""pilot"",""license"":""TBD""}"
f822109e-60a5-441b-a9a1-adcaa27490f2,Higg MSI,Garment,Hoodie,CN,Garment - Hoodie (CN),kgCO2e/item,2.0701,5,2,2023,Hybrid,Economic,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-11,"{""env"":""pilot"",""license"":""TBD""}"
10ce81c5-d3df-4f82-899d-5ed7a0398911,Ecoinvent,Garment,Jeans,CN,Garment - Jeans (CN),kgCO2e/item,14.0084,15,3,2019,Consequential,Mass,Ecoinvent 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-07,"{""env"":""pilot"",""license"":""TBD""}"
2ab3367c-d4e8-4b8f-a262-93b399004912,Ecoinvent,Office & IT,Data Center kWh,EU,Office & IT - Data Center kWh (EU),kgCO2e/kWh,0.6096,30,3,2021,Process-based,Mass,Ecoinvent 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-21,"{""env"":""pilot"",""license"":""TBD""}"
6dc87d4a-a542-4902-9648-b642c68c3805,DEFRA,Fabric,Fleece,Global,Fabric - Fleece (Global),kgCO2e/kg,11.3589,5,3,2019,Process-based,Mass,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-19,"{""env"":""pilot"",""license"":""TBD""}"
abfda308-23a3-4be1-bb66-b46bbd99ddfa,Higg MSI,Garment,T-Shirt,TR,Garment - T-Shirt (TR),kgCO2e/item,17.0624,10,4,2021,Consequential,Energy Content,Higg MSI 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-06-03,"{""env"":""pilot"",""license"":""TBD""}"
c029fdc7-7b04-47b0-bd49-e6a7b899da11,Higg MSI,Distribution,3PL Hub,EU,Distribution - 3PL Hub (EU),kgCO2e/item,0.0791,20,1,2025,Process-based,Economic,Higg MSI 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-25,"{""env"":""pilot"",""license"":""TBD""}"
96abc739-4d5d-4394-964c-7b1258fe6f22,DEFRA,Fibre,Wool,EU,Fibre - Wool (EU),kgCO2e/kg,9.3947,15,4,2022,Attributional,None,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-02,"{""env"":""pilot"",""license"":""TBD""}"
c71501ec-dab0-4feb-b847-50f533be8999,DEFRA,Fabric,Woven,Global,Fabric - Woven (Global),kgCO2e/kg,14.1419,15,2,2024,Attributional,Energy Content,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-01,"{""env"":""pilot"",""license"":""TBD""}"
0d8a884c-a744-4924-88e6-0561091fcd1c,DEFRA,Fibre,Organic Cotton,Global,Fibre - Organic Cotton (Global),kgCO2e/kg,5.3361,15,4,2022,Hybrid,Economic,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-05,"{""env"":""pilot"",""license"":""TBD""}"
92acb096-8a1e-4671-9c87-828430efdd53,DEFRA,Transport,Rail,EU,Transport - Rail (EU),kgCO2e/tonne-km,0.4066,15,3,2021,Hybrid,None,DEFRA 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-16,"{""env"":""pilot"",""license"":""TBD""}"
2010f5cf-43cd-400c-8ad3-0d1985e953c5,Higg MSI,Dyeing & Finishing,Reactive Dyeing,TR,Dyeing & Finishing - Reactive Dyeing (TR),kgCO2e/kg,2.769,15,5,2020,Attributional,Economic,Higg MSI 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-24,"{""env"":""pilot"",""license"":""TBD""}"
09e59e10-29fa-4bf1-a3c5-77a1eb3e675c,Climatiq,Transport,Rail,TR,Transport - Rail (TR),kgCO2e/tonne-km,0.3555,10,2,2023,Hybrid,None,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-08,"{""env"":""pilot"",""license"":""TBD""}"
305acd4c-27de-4220-9cda-555c05794635,Higg MSI,Retail,E-commerce Ops,US,Retail - E-commerce Ops (US),kgCO2e/kWh,0.5798,20,3,2018,Hybrid,None,Higg MSI 2018 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-13,"{""env"":""pilot"",""license"":""TBD""}"
4af1f39a-06f3-4d46-9763-d14af52b1e9f,Ecoinvent,Fibre,Cotton,Global,Fibre - Cotton (Global),kgCO2e/kg,9.1619,30,2,2020,Consequential,Energy Content,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-29,"{""env"":""pilot"",""license"":""TBD""}"
ed83eb83-7486-4fb9-bc17-9d2d21abb6a5,Higg MSI,Office & IT,Office Heating,US,Office & IT - Office Heating (US),kgCO2e/kWh,0.653,10,2,2022,Process-based,Economic,Higg MSI 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-07-23,"{""env"":""pilot"",""license"":""TBD""}"
f3928fb2-4a9b-4048-b45c-3df6ba630e5d,Ecoinvent,Packaging,Paper Wrap,US,Packaging - Paper Wrap (US),kgCO2e/item,0.2316,10,3,2024,Process-based,Energy Content,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-20,"{""env"":""pilot"",""license"":""TBD""}"
3d1c4ad8-9cfb-4ea8-b831-751f8a2f6308,DEFRA,Dyeing & Finishing,Disperse Dyeing,US,Dyeing & Finishing - Disperse Dyeing (US),kgCO2e/kg,2.4198,15,2,2024,Attributional,None,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-12-15,"{""env"":""pilot"",""license"":""TBD""}"
0c057302-52fd-4dff-b0a3-988f617de314,Higg MSI,Transport,Air Freight,US,Transport - Air Freight (US),kgCO2e/tonne-km,0.4574,15,4,2019,Consequential,None,Higg MSI 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-11,"{""env"":""pilot"",""license"":""TBD""}"
2bbc9727-1110-4420-908b-eee20e7863e0,DEFRA,Dyeing & Finishing,Disperse Dyeing,US,Dyeing & Finishing - Disperse Dyeing (US),kgCO2e/kg,8.1173,15,3,2019,Attributional,Energy Content,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-09-09,"{""env"":""pilot"",""license"":""TBD""}"
6536fdda-354d-4dd6-b045-58f5f7830a57,DEFRA,Transport,Sea Container,TR,Transport - Sea Container (TR),kgCO2e/tonne-km,0.7539,15,5,2023,Attributional,Energy Content,DEFRA 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-10-03,"{""env"":""pilot"",""license"":""TBD""}"
7a0f30b2-9d70-4127-910d-1f8db7f2ba05,Ecoinvent,Transport,Truck Euro6,TR,Transport - Truck Euro6 (TR),kgCO2e/tonne-km,0.8708,30,2,2020,Process-based,None,Ecoinvent 2020 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-24,"{""env"":""pilot"",""license"":""TBD""}"
f62a2b6c-3741-4a5f-9e9e-e29dd99fad9b,Higg MSI,Garment,Shirt,EU,Garment - Shirt (EU),kgCO2e/item,5.9133,20,4,2021,Process-based,Energy Content,Higg MSI 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-06-08,"{""env"":""pilot"",""license"":""TBD""}"
5d89e9ea-e970-4ac5-b755-6a8375e3700e,Climatiq,Fibre,Recycled Polyester,TR,Fibre - Recycled Polyester (TR),kgCO2e/kg,10.7412,30,1,2023,Consequential,Economic,Climatiq 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-11,"{""env"":""pilot"",""license"":""TBD""}"
64e854b5-4703-4665-8ead-d50ba1c4bfcb,DEFRA,Fibre,Viscose,CN,Fibre - Viscose (CN),kgCO2e/kg,3.6517,15,1,2019,Hybrid,Economic,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-09-17,"{""env"":""pilot"",""license"":""TBD""}"
774eb661-981f-41a3-be4b-f5ba47c81ecd,DEFRA,Distribution,Last-Mile Van,US,Distribution - Last-Mile Van (US),kgCO2e/item,0.3904,40,2,2019,Hybrid,None,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-12-11,"{""env"":""pilot"",""license"":""TBD""}"
c60b8e1d-3700-48a7-87a7-9323163bc92c,Ecoinvent,Transport,Air Freight,TR,Transport - Air Freight (TR),kgCO2e/tonne-km,0.6308,20,3,2025,Hybrid,Economic,Ecoinvent 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-19,"{""env"":""pilot"",""license"":""TBD""}"
0e056d55-4b15-4245-a498-23377f70ffc4,DEFRA,Distribution,Last-Mile Van,Global,Distribution - Last-Mile Van (Global),kgCO2e/item,0.4217,40,3,2019,Consequential,Economic,DEFRA 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-29,"{""env"":""pilot"",""license"":""TBD""}"
3319deee-0ef7-4e4a-9375-e4ff24192cab,Ecoinvent,Office & IT,Laptop Usage,TR,Office & IT - Laptop Usage (TR),kgCO2e/kWh,0.3808,30,3,2022,Hybrid,Economic,Ecoinvent 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-08-02,"{""env"":""pilot"",""license"":""TBD""}"
8efea70e-7218-4ec6-9454-c32f9dd612fb,DEFRA,Packaging,Hangtag,TR,Packaging - Hangtag (TR),kgCO2e/item,0.0952,15,3,2018,Process-based,Energy Content,DEFRA 2018 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-12,"{""env"":""pilot"",""license"":""TBD""}"
c91c7b35-0aed-48f4-ba9c-dfb765856963,Higg MSI,Office & IT,Office Heating,CN,Office & IT - Office Heating (CN),kgCO2e/kWh,0.5254,30,5,2025,Consequential,Economic,Higg MSI 2025 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-01-16,"{""env"":""pilot"",""license"":""TBD""}"
38a7b203-42eb-4afc-9178-5f00243672db,Higg MSI,Office & IT,Laptop Usage,US,Office & IT - Laptop Usage (US),kgCO2e/kWh,0.5034,20,2,2024,Process-based,Mass,Higg MSI 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-28,"{""env"":""pilot"",""license"":""TBD""}"
7e5bda81-e830-4b6f-baa1-98322e4643ca,Higg MSI,Transport,Air Freight,US,Transport - Air Freight (US),kgCO2e/tonne-km,0.0315,15,3,2023,Attributional,Energy Content,Higg MSI 2023 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-08-11,"{""env"":""pilot"",""license"":""TBD""}"
d231829b-1793-4aff-85c7-488ac5d600e9,Climatiq,Fibre,Organic Cotton,US,Fibre - Organic Cotton (US),kgCO2e/kg,3.0963,40,3,2019,Consequential,Energy Content,Climatiq 2019 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-05-05,"{""env"":""pilot"",""license"":""TBD""}"
168fe76d-318d-4aee-976c-90a93ecca171,Climatiq,Yarn,Ring Spun,TR,Yarn - Ring Spun (TR),kgCO2e/kg,4.0598,40,4,2024,Consequential,None,Climatiq 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-12-13,"{""env"":""pilot"",""license"":""TBD""}"
debd9a30-98f7-41ec-b870-e79ff92e3c2e,Climatiq,Packaging,Hangtag,Global,Packaging - Hangtag (Global),kgCO2e/item,0.145,20,4,2021,Process-based,None,Climatiq 2021 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-07-25,"{""env"":""pilot"",""license"":""TBD""}"
faad6da1-f3dd-464f-9b66-61a66da41e39,DEFRA,Distribution,Warehouse (Ambient),TR,Distribution - Warehouse (Ambient) (TR),kgCO2e/item,0.1957,40,4,2024,Consequential,None,DEFRA 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-10-24,"{""env"":""pilot"",""license"":""TBD""}"
24167529-2d0d-4d22-9058-d1b7dc6e7399,DEFRA,Fabric,Fleece,TR,Fabric - Fleece (TR),kgCO2e/kg,6.9842,15,4,2022,Attributional,Economic,DEFRA 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-04-13,"{""env"":""pilot"",""license"":""TBD""}"
2b08a354-b57c-4f87-b983-8e5f3894b2fb,Climatiq,Packaging,Polybag,CN,Packaging - Polybag (CN),kgCO2e/item,0.0982,30,3,2022,Hybrid,Economic,Climatiq 2022 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-11-08,"{""env"":""pilot"",""license"":""TBD""}"
3feff2bc-2a4a-47c3-b2c2-88d600c32ae0,Higg MSI,Retail,Store Electricity,EU,Retail - Store Electricity (EU),kgCO2e/kWh,0.5618,20,4,2018,Process-based,Energy Content,Higg MSI 2018 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2025-02-03,"{""env"":""pilot"",""license"":""TBD""}"
72e45b7e-8d8b-4798-a913-deae4450760b,Ecoinvent,Fibre,Viscose,TR,Fibre - Viscose (TR),kgCO2e/kg,8.3554,20,3,2024,Attributional,Mass,Ecoinvent 2024 dataset,Synthetic pilot value for pipeline testing; replace with verified source factors.,2024-05-26,"{""env"":""pilot"",""license"":""TBD""}"
